Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
"Planes, Trains and Automobiles",1987,92,96683.0,John Hughes, Easily excitable Neal Page (Steve Martin) is somewhat of a control freak. Trying to get home to Chicago to spend...,"Steve Martin, John Candy, Laila Robins, Michael McKean","Thanks to the impeccable chemistry between Steve Martin and John Candy, as well as a deft mix of humor and heart,"
A Fish Called Wanda,1988,96,99622.0,Charles Crichton," British gangster George Thomason (Tom Georgeson) and his hapless aide, Ken Pile (Michael Palin), draft a pair of arrogant Americans,...","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin","Smartly written, smoothly directed, and solidly cast,"
Anchorman: The Legend of Ron Burgundy,2004,66,74246.0,Adam McKay, Hotshot television anchorman Ron Burgundy (Will Ferrell) welcomes upstart reporter Veronica Corningstone (Christina Applegate) into the male-dominated world of 1970s...,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell","Filled with inspired silliness and quotable lines, Anchorman isn't the most consistent comedy in the world, but Will Ferrell's buffoonish central performance helps keep this portrait of a clueless newsman from going off the rails."
Ghostbusters,1984,97,102523.0,Ivan Reitman," After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a...","Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver","An infectiously fun blend of special effects and comedy, with Bill Murray's hilarious deadpan performance leading a cast of great comic turns."
Austin Powers: International Man of Mystery,1997,73,76739.0,Jay Roach," A world-class playboy and part-time special agent, Powers is defrosted after 30 years in a cryogenic freeze to match wits...","Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers","A light and goofy comedy which provides laughs, largely due to performances and screenwriting by Myers."
Dumb & Dumber,1994,67,69924.0,Peter Farrelly, Imbecilic best friends Lloyd Christmas (Jim Carrey) and Harry Dunne (Jeff Daniels) stumble across a suitcase full of money left...,"Jim Carrey, Jeff Daniels, Lauren Holly, Teri Garr",A relentlessly stupid comedy elevated by its main actors: Jim Carrey goes bonkers and Jeff Daniels carries himself admirably in an against-type performance.
The Odd Couple,1968,97,100810.0,Gene Saks," When fussy Felix (Jack Lemmon) becomes suicidal over his impending divorce, he accepts an offer to move in with his...","Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman","Enlivening Neil Simon's crackerjack script with their harmonious rapport, Jack Lemmon and Walter Matthau are a perfect pairing as"
The Producers,1968,90,98114.0,Mel Brooks," Down and out producer Max Bialystock (Zero Mostel), who was once the toast of Broadway, trades sexual favors with old...","Zero Mostel, Gene Wilder, Dick Shawn, Kenneth Mars","A hilarious satire of the business side of Hollywood, The Producers is one of Mel Brooks' finest, as well as funniest films, featuring standout performances by Gene Wilder and Zero Mostel."
Clerks,1994,90,92378.0,Kevin Smith, Dante (Brian O'Halloran) is called in to cover a shift at his New Jersey convenience store on his day off....,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonhauer","With its quirky characters and clever, quotable dialogue,"
What We Do in the Shadows,2014,96,103659.0,Jemaine Clement," Vampire housemates (Jemaine Clement, Taika Waititi, Jonathan Brugh) try to cope with the complexities of modern life and show a...","Jemaine Clement, Taika Waititi, Jonathan Brugh, Cori Gonzalez-Macuer","Smarter, fresher, and funnier than a modern vampire movie has any right to be,"
The Lady Eve,1941,100,106099.0,Preston Sturges, It's no accident when wealthy Charles (Henry Fonda) falls for Jean (Barbara Stanwyck). Jean is a con artist with her...,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette","A career highlight for Preston Sturges, The Lady Eve benefits from Barbara Stanwyck and Henry Fonda's sparkling chemistry -- and a script that inspired countless battle-of-the-sexes comedies."
"What's Up, Doc?",1972,89,92392.0,Peter Bogdanovich, Two researchers have come to San Francisco to compete for a research grant in music. The man seems a bit...,"Barbra Streisand, Ryan O'Neal, Madeline Kahn, Kenneth Mars","Barbra Streisand was never more likable than in this energetic, often hilarious screwball farce from director Peter Bogdanovich."
A Night at the Opera,1935,97,110872.0,Sam Wood, The Marx Brothers run amuck in the world of opera when Otis B. Driftwood (Groucho Marx) meets aspiring singer Ricardo...,"Groucho Marx, Harpo Marx, Kitty Carlisle, Chico Marx","Watermelons may go out of season, but in"
Adam's Rib,1949,96,99976.0,George Cukor, A courtroom rivalry finds its way into the household when prosecuting lawyer Adam Bonner (Spencer Tracy) faces off against his...,"Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell","Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib."
Sullivan's Travels,1941,100,103972.0,Preston Sturges," Successful movie director John L. Sullivan (Joel McCrea), convinced he won't be able to film his ambitious masterpiece until he...","Joel McCrea, Veronica Lake, Robert Warwick, William Demarest",No consensus yet.
Caddyshack,1980,73,76952.0,Harold Ramis," Danny Noonan (Michael O'Keefe), a teen down on his luck, works as a caddy at the snob-infested Bushwood Country Club...","Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight","Though unabashedly crude and juvenile,"
The Great Dictator,1940,93,97872.0,Charles Chaplin," After dedicated service in the Great War, a Jewish barber (Charles Chaplin) spends years in an army hospital recovering from...","Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner","Charlie Chaplin demonstrates that his comedic voice is undiminished by dialogue in this rousing satire of tyranny, which may be more distinguished by its uplifting humanism than its gags."
The Philadelphia Story,1940,100,112029.0,George Cukor," This classic romantic comedy focuses on Tracy Lord (Katharine Hepburn), a Philadelphia socialite who has split from her husband, C.K....","Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey","Offering a wonderfully witty script, spotless direction from George Cukor, and typically excellent lead performances,"
Raising Arizona,1987,92,95411.0,Joel Coen," An ex-con and an ex-cop meet, marry and long for a child of their own. When it is discovered that...","Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman","A terrifically original, eccentric screwball comedy,"
Clueless,1995,81,89102.0,Amy Heckerling," Shallow, rich and socially successful Cher (Alicia Silverstone) is at the top of her Beverly Hills high school's pecking scale....","Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","A funny and clever reshaping of Emma, Clueless offers a soft satire that pokes as much fun at teen films as it does at the Beverly Hills glitterati."
Annie Hall,1977,96,104587.0,Woody Allen, Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane...,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane","Filled with poignant performances and devastating humor,"
His Girl Friday,1940,99,110901.0,Howard Hawks," When hard-charging New York newspaper editor Walter Burns discovers that his ex-wife, investigative reporter Hildy Johnson, has gotten engaged to...","Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart","Anchored by stellar performances from Cary Grant and Rosalind Russell, His Girl Friday is possibly the definitive screwball romantic comedy."
Withnail and I,1987,94,94653.0,Bruce Robinson," Two out-of-work actors -- the anxious, luckless Marwood (Paul McGann) and his acerbic, alcoholic friend, Withnail (Richard E. Grant) --...","Richard E. Grant, Paul McGann, Richard Griffiths, Ralph Brown",Richard E. Grant and Paul McGann prove irresistibly hilarious as two misanthropic slackers in
Trading Places,1983,88,89014.0,John Landis, Upper-crust executive Louis Winthorpe III (Dan Aykroyd) and down-and-out hustler Billy Ray Valentine (Eddie Murphy) are the subjects of a...,"Dan Aykroyd, Eddie Murphy, Ralph Bellamy, Don Ameche","Featuring deft interplay between Eddie Murphy and Dan Aykroyd,"
Bridesmaids,2011,90,101266.0,Paul Feig," Annie (Kristen Wiig) is a single woman whose own life is a mess, but when she learns that her lifelong...","Kristen Wiig, Maya Rudolph, Rose Byrne, Ellie Kemper","A marriage of genuine characters, gross out gags, and pathos,"
Young Frankenstein,1974,94,100898.0,Mel Brooks, Respected medical lecturer Dr. Frederick Frankenstein (Gene Wilder) learns that he has inherited his infamous grandfather's estate in Transylvania. Arriving...,"Gene Wilder, Peter Boyle, Cloris Leachman, Marty Feldman","Made with obvious affection for the original, Young Frankenstein is a riotously silly spoof featuring a fantastic performance by Gene Wilder."
Shaun of the Dead,2004,92,99890.0,Edgar Wright," Shaun (Simon Pegg) is a 30-something loser with a dull, easy existence. When he's not working at the electronics store,...","Simon Pegg, Kate Ashfield, Lucy Davis, Nick Frost",
The Naked Gun,1988,88,90630.0,David Zucker," Frank Drebin (Leslie Nielsen), a rather clueless police detective, tries to foil a plot to turn innocent people into assassins...","Leslie Nielsen, George Kennedy, Priscilla Presley, Ricardo Montalban",
The Blues Brothers,1980,73,80978.0,John Landis," After his release from prison, Jake (John Belushi) reunites with his brother, Elwood (Dan Aykroyd) -- collectively known as the...","John Belushi, Dan Aykroyd, James Brown, Cab Calloway","Too over the top for its own good, but ultimately rescued by the cast's charm, director John Landis' grace, and several soul-stirring musical numbers."
Coming to America,1988,73,75547.0,John Landis," Prince Akeem (Eddie Murphy) is the prince of a wealthy African country and wants for nothing, except a wife who...","Eddie Murphy, Arsenio Hall, John Amos, James Earl Jones","Eddie Murphy was in full control at this point, starkly evident in"
Life of Brian,1979,95,100490.0,Terry Jones," Brian Cohen (Graham Chapman) is an average young Jewish man, but through a series of ridiculous events, he gains a...","Graham Chapman, John Cleese, Terry Gilliam, Terry Jones","One of the more cutting-edge films of the 1970s, this religious farce from the classic comedy troupe is as poignant as it is funny and satirical."
The Jerk,1979,83,86131.0,Carl Reiner," Navin (Steve Martin) believes he was born a poor black child in Mississippi. He is, however, actually white. Upon figuring...","Steve Martin, Bernadette Peters, Catlin Adams, Mabel King","Crude, crass, and oh so quotable,"
The General,1926,92,96357.0,Clyde Bruckman," One of the most revered comedies of the silent era, this film finds hapless Southern railroad engineer Johnny Gray (Buster...","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","Brilliantly filmed and fueled with classic physical comedy,"
The Thin Man,1934,98,104612.0,W. S. Van Dyke," The recently divorced Clyde Wynant discovers that his new girlfriend has stolen $50,000 and is carrying on with other men....","William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton","Featuring an involving mystery and sparkling repartee between William Powell and Myrna Loy,"
This Is Spinal Tap,1984,95,99742.0,Rob Reiner," ""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on...","Rob Reiner, Michael McKean, Christopher Guest, Harry Shearer","Smartly directed, brilliantly acted, and packed with endlessly quotable moments,"
National Lampoon's Animal House,1978,90,95106.0,John Landis," When they arrive at college, socially inept freshmen Larry (Thomas Hulce) and Kent (Stephen Furst) attempt to pledge the snooty...","John Belushi, Kevin Bacon, Donald Sutherland, Karen Allen","The talents of director John Landis and Saturday Night Live's irrepressible John Belushi conspired to create a rambunctious, subversive college comedy that continues to resonate."
Blazing Saddles,1974,89,93883.0,Mel Brooks," In this satirical take on Westerns, crafty railroad worker Bart (Cleavon Little) becomes the first black sheriff of Rock Ridge,...","Cleavon Little, Gene Wilder, Madeline Kahn, Slim Pickens","Daring, provocative, and laugh-out-loud funny,"
Bringing Up Baby,1938,94,103213.0,Howard Hawks," Harried paleontologist David Huxley (Cary Grant) has to make a good impression on society matron Mrs. Random (May Robson), who...","Katharine Hepburn, Cary Grant, Charlie Ruggles, May Robson","With Katharine Hepburn and Cary Grant at their effervescent best, Bringing Up Baby is a seamlessly assembled comedy with enduring appeal."
Modern Times,1936,98,117211.0,Charlie Chaplin, This comedic masterpiece finds the iconic Little Tramp (Charlie Chaplin) employed at a state-of-the-art factory where the inescapable machinery completely...,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford","A slapstick skewering of industrialized America, Modern Times is as politically incisive as it is laugh-out-loud hilarious."
The Apartment,1960,94,104117.0,Billy Wilder, Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs....,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos."
Groundhog Day,1993,97,103208.0,Harold Ramis," Phil (Bill Murray), a weatherman, is out to cover the annual emergence of the groundhog from its hole. He gets...","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky","Smart, sweet, and inventive,"
The Princess Bride,1987,97,103126.0,Rob Reiner, A fairy tale adventure about a beautiful young woman and her one true love. He must find her after a...,"Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon","A delightfully postmodern fairy tale,"
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,98,105273.0,Stanley Kubrick, A film about what could happen if the wrong person pushed the wrong button -- and it played the situation...,"Peter Sellers, George C. Scott, Keenan Wynn, Slim Pickens",Stanley Kubrick's brilliant Cold War satire remains as funny and razor-sharp today as it was in 1964.
Duck Soup,1933,91,98116.0,Leo McCarey," When the tiny nation of Freedonia goes bankrupt, its wealthy benefactor, Mrs. Teasdale (Margaret Dumont), insists that the wacky Rufus...","Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx","Fueled by inspired silliness and blessed with some of the Marx brothers' most brilliant work,"
The Big Lebowski,1998,83,88645.0,Joel Coen," Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have...","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","Typically stunning visuals and sharp dialogue from the Coen Brothers, brought to life with strong performances from Goodman and Bridges."
It Happened One Night,1934,99,118355.0,Frank Capra," In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her...","Claudette Colbert, Clark Gable, Walter Connolly, Roscoe Karns","Capturing its stars and director at their finest,"
Some Like It Hot,1959,94,100276.0,Billy Wilder," After witnessing a Mafia murder, slick saxophone player Joe (Tony Curtis) and his long-suffering buddy, Jerry (Jack Lemmon), improvise a...","Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft",
Monty Python and the Holy Grail,1975,97,103930.0,Terry Gilliam, A comedic send-up of the grim circumstances of the Middle Ages as told through the story of King Arthur and...,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle","A cult classic as gut-bustingly hilarious as it is blithely ridiculous,"
Airplane!,1980,97,103061.0,Jim Abrahams, This spoof comedy takes shots at the slew of disaster movies that were released in the 70s. When the passengers...,"Robert Hays, Julie Hagerty, Peter Graves, Robert Stack","Though unabashedly juvenile and silly,"
City Lights,1931,97,103416.0,Charles Chaplin, A hapless but resilient tramp (Charlie Chaplin) falls in love with a blind flower girl (Virginia Cherrill) on the tough...,"Charlie Chaplin, Virginia Cherrill, Harry Myers, Hank Mann","One of the best underdog romance movies ever, with an ending that will light up any heart."
